"PA","ID","AHM","bFFP","CMD","DD_0","DD_18","DD18","DD5","eFFP","EMT","Eref","EXT","FFP","MAP","MAR","MAT","MCMT","MSP","MWMT","NFFD","PAS","PPT_sm","PPT_wt","RH","SHM","Tave_sm","Tave_wt","TD","elev","slope","aspect.cos","aspect.sin","hli","awc_mean_0_5","bd_mean_0_5","clay_mean_0_5","om_mean_0_5","ph_mean_0_5","sand_mean_0_5","silt_mean_0_5","wind","srad"
0,859,32.5,124,378,650.324447631836,3839.65130615234,528.673141479492,2686.47735595703,277,-35.513111114502,919,42.1269788742065,153,579.272232055664,14.1403334140778,8.80000019073486,-6.59999990463257,379.673141479492,24.3999996185303,183,43,232,38,55,64.3653736114502,22.7000007629395,-5.59999990463257,31,478.875373840332,0.012291117804125,0.457110740244389,0.88475139439106,0.703951373696327,0.195836514234543,1.2650673687458,21.2933912277222,3.12660592794418,6.49724495410919,26.2435746192932,50.985990524292,4.65833330154419,14138.568359375
0,860,31.114800453186,123,346.147994995117,609.844146728516,3763.79431152344,528,2709.85205078125,278,-35,917,41.7999992370605,155,611.894073486328,14,9,-6.09999990463257,394.852005004883,24.3999996185303,187,42,238,40,56,61.7950105667114,22.7000007629395,-5.09999990463257,30.5,496.937507629395,0.00396581517998129,0.79814524948597,0.102852225536481,0.711714372038841,0.202463231980801,1.22766506671906,20.4063854217529,3.252536714077,6.40607357025146,22.5262703895569,55.6024398803711,4.61600017547607,14194.474609375
0,861,43.8347129821777,131.607814788818,590.909896850586,484.170593261719,3749.01428222656,443.886566162109,2508.60565185547,269.167518615723,-36.2999992370605,988.449340820312,42.622465133667,138,430,13.9832487106323,8.89999961853027,-3.90000009536743,279.392181396484,23.7999992370605,180,30.6078181266785,166.269721984863,32,48,85.0562763214111,21.8269720077515,-3.5,27.6832494735718,949.500610351562,0.0271485806442797,0.933303713798523,-0.306783715263009,0.710386514663696,0.154805976897478,1.47693294286728,28.6517729759216,1.66505235433578,7.20228159427643,28.3744721412659,39.393609046936,4.36666679382324,14963.6931152344
0,862,29.7023439407349,124,320.496604919434,522.924530029297,3654.11242675781,520.211364746094,2707,279,-34.2211360931396,928,41.5,155,650.104110717773,14.1000003814697,9.30000019073486,-4.90000009536743,410.052055358887,24.2999992370605,188,40,245.788639068604,42.2634115219116,55,59.2211360931396,22.6000003814697,-4.09999990463257,29.2000007629395,643.374771118164,0.0140167772769928,-0.804075568914413,-0.329074814915657,0.721545621752739,0.187705256044865,1.39112958312035,25.6133041381836,2.90930449962616,6.53411519527435,27.4136681556702,44.6553144454956,4.77266681194305,14356.2802734375
0,863,37.7194175720215,132,427.567459106445,842.973999023438,4324.98913574219,377.895393371582,2324.35614013672,271,-38.2999992370605,819.194152832031,41.5089569091797,139.80583190918,453.80583190918,13.1371130943298,7.09999990463257,-8.30000019073486,301,23,174,55,192,35,54,76.519416809082,21.2000007629395,-7.19999980926514,31.2999992370605,683.374603271484,0.0129275253275409,-0.81188502907753,-0.559738807380199,0.721571981906891,0.170737385749817,1.35794761776924,17.8035564422607,2.28356748819351,6.55981516838074,49.9126863479614,31.1280131340027,4.89150035381317,13934.5766601562
0,864,36.4199209213257,132,404.14567565918,968.208084106445,4465.25866699219,365.958267211914,2311.89520263672,271,-38.9000015258789,790.961013793945,41.3187007904053,139,457.81258392334,14.121410369873,6.69850850105286,-10,315,22.7000007629395,170.996601104736,51.8153285980225,206.032829284668,30.8004159927368,54,72.097017288208,21.0985088348389,-8.60179209709167,32.698784828186,516.937713623047,0.0136536764912307,0.424325466156006,0.894121155142784,0.703329250216484,0.172998748719692,1.34994208812714,18.2292490005493,2.9238338470459,6.75825536251068,42.9596300125122,36.8483142852783,4.8183331489563,13588.4848632812
0,865,30.5121431350708,122,343.741310119629,600.29719543457,3709.43444824219,545.121444702148,2765.14068603516,279,-34.7999992370605,925.258697509766,41.8019247055054,157,629.859313964844,13.8000001907349,9.19999980926514,-6.19999980926514,389.980751037598,24.3999996185303,189,46,232,47,56,62.5277948379517,22.8999996185303,-5.09999990463257,30.5258688926697,457.938064575195,0.0247274055145681,0.171458327677101,0.968834936618805,0.700703397393227,0.191808551549911,1.26577717065811,21.7902975082397,3.47187060117722,6.50364971160889,31.2544536590576,45.4466934204102,4.560666680336,14158.7346191406
0,866,31.0343985557556,129,336.10791015625,942.438751220703,4371.36145019531,388.71061706543,2389.07727050781,272,-38.2633361816406,816,41.2999992370605,143,547.366653442383,14.3000001907349,7,-10,373,22.8999996185303,170,55,233.366641998291,33,55,61.3289375305176,21.2999992370605,-8.5,32.9000015258789,415.999794006348,0.0050682996516116,-0.775432348251343,-0.602543883025646,0.716113969683647,0.193085312843323,1.29626807570457,20.8784551620483,3.97219860553741,6.55384135246277,37.3969326019287,39.9864282608032,4.74166679382324,13694.4538574219
0,867,39.3885622024536,126.018669128418,501.418685913086,581.786575317383,3779.94744873047,530.856796264648,2672.68450927734,275.394149780273,-35.9904279708862,951.353210449219,43.0287990570068,149.383697509766,482.10391998291,13.7382659912109,9,-5.56163024902344,315.383697509766,24.5616302490234,182.766357421875,35.3941564559937,194.981330871582,31.9708700180054,51.9813299179077,77.7519969940186,22.7616305351257,-4.66343450546265,30.0641522407532,605.689788818359,0.0987686011940241,0.98455274105072,0.00242189411073923,0.675197258591652,0.152962170541286,1.50458711385727,33.1514482498169,1.66297003626823,7.1669510602951,23.632550239563,38.3717555999756,4.70500016212463,14375.2282714844
0,868,44.1387348175049,129.746547698975,521.462951660156,539.076156616211,3863.38317871094,422.305641174316,2451.35778808594,274,-36.2253446578979,913.343399047852,41.9858474731445,144.253452301025,418.605026245117,14.0217664241791,8.52534508705139,-4.51195323467255,271,23.485848903656,183.253452301025,33,157.746547698975,27.6050329208374,52,86.5850315093994,21.6372981071472,-4.06050324440002,27.9978017807007,875.501174926758,0.048474345356226,0.664688751101494,0.735363453626633,0.673462420701981,0.16085148230195,1.43064224720001,24.9618301391602,1.88923826813698,7.01914930343628,32.0718140602112,39.8955268859863,4.51800012588501,14650.103515625
0,869,30.2014827728271,131,313.545257568359,986.959838867188,4449.95190429688,364.046592712402,2339.07818603516,271.985176086426,-38.5999984741211,784.006256103516,41.0991411209106,140.969909667969,553.475997924805,14,6.69999980926514,-10.5,374.993743896484,22.6000003814697,167,57,243.50777053833,35.0300893783569,55,60.1521854400635,21,-8.89999961853027,33,416.625297546387,0.00551417440874502,0.0861013010144234,0.517150775092887,0.710234880447388,0.190078511834145,1.31902807950974,21.0496025085449,4.16875803470612,6.58079731464386,36.8573226928711,40.3912258148193,4.75,13499.2468261719
